<1,57720812347>
<2,85264891763>
<3,84990209480>
<4,76725372134>
<5,82407619912>
<6,85089670734>
<7,62840882884>
<8,50839819911>
<9,80812090202>
<10,88445518961>
<11,74475898081>
<12,57393079210>
<13,57837235721>
<14,56630472225>
<15,97651411917>
<16,53618753523>
<17,52898476419>
<18,52010093998>
<19,59424942268>
<20,58276021197>
<21,53605806111>
<22,58325035431>
<23,54060972194>
<24,63482523084>
<25,50327678394>
<26,24058267831>
<27,54732891751>
<28,63366124244>
<29,57612117399>
<30,86972112587>
<31,105927636273>
<32,62024144553>
<33,93399040812>
<34,58944265781>
<35,77669243142>
<36,50274977498>
<37,88784318612>
<38,95564265143>
<39,86314100721>
<40,75286893728>
<41,93602446020>
<42,84492244869>
<43,83267192150>
<44,74930721117>
<45,58758728628>
<46,84380163135>
<47,78782477195>
<48,6693668509>
<49,59756036199>
<50,59613940436>
<51,87701259337>
<52,84251941922>
<53,63075266947>
<54,58226999222>
<55,69132220176>
<56,72221135360>
<57,62213791214>
<58,87643854330>
<59,59088712562>
<60,56046073507>
<61,86603076124>
<62,98052223987>
<63,99432364148>
<64,87269012777>
<65,103035627714>
<66,54882572512>
<67,74839289630>
<68,83102459266>
<69,59069879140>
<70,88850665617>
<71,97674373694>
<72,79165735999>
<73,59425735996>
<74,58535132936>
<75,78297583913>
<76,60831340756>
<77,94523065049>
<78,62481474964>
<79,92952731391>
<80,96161903003>
<81,97894701328>
<82,96143493570>
<83,87758730588>
<84,71642361401>
<85,63535274209>
<86,58516421323>
<87,74564846667>
<88,58940367578>
<89,96618077742>
<90,71486484287>
<91,62029139669>
<92,98167372984>
<93,100669369828>
<94,102224286937>
<95,75389470922>
<96,59577565888>
<97,6796248446>
<98,59188191466>
<99,67258332695>
<100,74488560281>
<101,61045528062>
<102,92442376941>
<103,57361010367>
<104,86641743738>
<105,72674320447>
<106,58942411763>
<107,61886818572>
